05:31:02  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DejaVuSansFont.15' using texture size 128 x 128.  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  769
05:31:02  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DejaVuSansFont.15' using real height 17 pixels.  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  770
05:31:02  |  Core  |  Info  |  Load ini file 'MyGUI_Images.xml'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
05:31:02  |  Core  |  Info  |  Load ini file 'MyGUI_CommonSkins.xml'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
05:31:02  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTheme.xml'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
05:31:02  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteImages.xml'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
05:31:02  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteSkins.xml'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
05:31:02  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTemplates.xml'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
05:31:02  |  Core  |  Info  |  Load ini file 'MyGUI_Pointers.xml'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
05:31:02  |  Core  |  Info  |  Load ini file 'MyGUI_Layers.xml'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
05:31:02  |  Core  |  Info  |  Load ini file 'MyGUI_Settings.xml'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
05:31:02  |  Core  |  Info  |  Gui successfully initialized  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_Gui.cpp  |  119
